3054: adivinanzas | ¿que es un pollito de verde? un pollicia 
6822: atlantes | era una vez, que un atlante toma un taxi en la ciudad de mexico. lo para, se sube y pide que lo lleve al aeropuerto. entonces, el taxista le dice:oiga, yo soy muy bueno para contar chistes, el mejor. luego dice el atlante: ¿asi?, pues entonces demuestremelo, cuenteme un chiste, vale. entonces el taxista dice: ¿quien es el hijo de mi padre que no es mi hermano? y el atlante pensaba: ¿quien es el hijo de mi padre que no es mi hermano? mmm no, no se. el taxista dice: ¡pues yo! ah, es verdad dice el atlante. entonces en el aeropuerto, el atlante se encuentra con otro atlante y le dice: oye vale, yo soy muy bueno para eso de los chistes. y el otro dice: pero vale, demuestramelo. ¿quien es el hijo de mi padre que no es mi hermano? y el otro pensaba en silencio y al final dijo: me rindo, no se. y le responde el atlante: pues, el taxista mexicano que me trajo hasta aqui.  
7355: religiosos | habia un grupo de cuarenta monjas que esperaban para confesarse. pasa la monja numero uno, y le dice al sacerdote:padre me he reido en misa. la monja numero dos dice lo mismo, y asi sucesivamente hasta llegar a la monja numero treinta y nuevamente confiesa lo mismo. al llegar a la ultima monja, el sacerdote le dice: ya se hermana, se ha reido en misa. y ella le contesta: ¡no padre, yo fui la del pedito 
5380: otros | una mujer le pregunta a su hijo: ¿tu que quieres ser cuando seas grande?-yo, imbecil. -pero bueno hijo, ¿que dices? -si, es que mi papa siempre dice: mira la novia que tiene ese imbecil, mira el auto que se ha comprado ese imbecil, le ha tocado la loteria al imbecil ese...  
3137: adivinanzas | ¿como desesperas a un atlante?encerrandolo en un cuarto redondo y diciendole que lo esperas en la esquina.  
3644: jaimito | jaimito, ¿por que haces los numeros tan pequeños? para que se noten menos los errores, maestra 
7321: atlantes | ¿sabes por que los atlantes no pueden salir de atlantilandia?porque cada 150 metros hay un retorno 
4116: mama_papa | papa, ¿las vacas fuman?¡no, hijo! ¡entonces, se esta quemando el establo!  
5415: otros | una estudiante entra a la oficina de su maestro antes chequeando si no habia nadie en el pasillo, y cierra la puerta. profesor, yo haria cualquier cosa por pasar esta clase. el maestro levanta la mirada desde su escritorio y la queda mirando. ella se le acerca seductivamente y le dice: quiero decir, que haria cualquier cosa... el le pregunta: ¿cualquier cosa? ¡cualquier cosa! ¿cualquier cosa? ella se le acerca mas y contesta de nuevo: ¡cualquier cosa! el acerca su rostro al de ella, y le susurra en el oido: podrias, ¿estudiar 
4775: matrimonios | el papa de beto reclama a su esposa:antes de pegarle al niño me hubieras llamado a mi. a ti te toca  mañana.  
7093: atlantes | ¿por que los atlantes abren su yogurt en el supermercado?porque dice: abre aqui.	   
3222: adivinanzas | ¿como se dice tierra mojada con cuatro letras?lodo.                     
5556: otros | en un cuartel, habia un hombre llamado armando el cual tenia la costumbre de decir diminutivos. cierta vez el sargento lo mando a llamar:¿me mando a llamar, mi sargentito? si armando, quiero que le digas al subsargento que tendremos una reunion hoy por la tarde. si, mi sargentito. llega donde el subsargento y le dice: dice mi sargerntito que hoy por la tarde habra una reunion y nos quiere a todos presente. muchas gracias, armando. espero que se te vaya quitando eso de tito. si mi subsargentito, sera la ultima vez. a la hora de la reunion despues de dar la charla todos comian, pero armando no. entonces, fue ahi cuando el sargento le pregunto con voz grave.  armando, ¿por que no comes? y armando respondio: es que no tengo apeto.  
3967: machistas | va uno y se muere.moraleja: no vayas.  
1042: colmos | ¿cual es el colmo del diablo?sacarse un 100 en religion.  
3218: adivinanzas | ¿que le dijo un tennis grande a un tennis chiquito?tennisisito 
2807: adivinanzas | ¿que hace el chupacabras arriba de un tractor?sembrando el terror.    
6201: animales | estaba un leon debajo de un arbol descansando, en ese arbol estaban tres changitos haciendole carrilla al leon:¡leon mantenido, ponte a trabajar, da el ejemplo a tus hijos! ¡se van a bajar mendigos! ¡leon chimuelo te tienen que dar la comida masticada! ¡se van a bajar! y asi los changitos no paraban, y el leon siempre con lo mismo, se van a bajar, en eso la rama donde estaban los changitos  se quiebra, dos changitos se alcanzaron a agarrar, pero uno se dio un changazo. de pronto se levanta el leon bien enojado queriendo vengarse del changito, ya se levanta el changito sacudiendose las manos mira al leon y le dice: ¡sabes que vale, yo de plano me baje porque aquellos se estan poniendo muy pesados!   
1433: computacion | buenos dias, departamento de sistemas, ¿en que podemos ayudarle?buenos dias, el portatazas de mi pc se daño, y quisiera saber si podrian repararlo. ¿disculpe, dijo usted portatazas? si, mi equipo aun esta en garantia y quisiera saber para cuando pueden cambiarlo. ¿usted adquirio este portatazas en algun seminario, alguna exposicion o a traves de alguna revista promocional? ¡no!, el portatazas vino junto con la pc. ¿y este portatazas, tiene alguna etiqueta o marca que lo identifique? bueno realmente no, lo unico que tiene son unas pequeñas letras que dicen cd 24x 
1125: colmos | ¿cual es el colmo de un ladron espacial?robarle los anillos a saturno 
7738: una_linea | ¿que necesita un elefante con diarrea?mucho lugar 
7959: autos | un guardia motorista de trafico va siguiendo a un pequeño vehiculo utilitario que cada cinco segundos, da un salto y se eleva unos 10 cm. el guardia lo alcanza y pregunta al conductor:-pero ¿que le pasa a esta especial de langosta? -se refiere usted a mi coche? nada, contesta, soy yo que tengo hipo.  
3198: adivinanzas | ¿por que la profesora de matematicas se suicido?porque tenia muchos problemas.  
3303: adivinanzas | ¡por que las jirafas tienen el cuello tan largo?para que les llegue hasta la cabeza 
1208: colmos | ¿cual es el colmo de una cocinera?llamar a la policia para decirles que los fideos se estan pegando 
2257: feministas | ¿por que hay mas mujeres que hombres en el mundo?porque la madre naturaleza es sabia 
419: canibales | le preguntan al canibal: digame, ¿a usted le gustan los niños? yo como de lo que sea, mijo 
2368: funerales | un viejo se esta muriendo. alrededor del lecho poco a poco empieza a surgir una discusion.  ¡vamos a alquilar un carro funebre para llevarlo con decencia! dice la esposa.   ¡no creo que se deba gastar tanto dinero! yo puedo llevarlo en la camioneta del vecino, si me la presta, dice el hijo del viejo moribundo.   ¿y por que no lo llevamos al hombro? pregunta el vecino, el casi no pesa nada.   por fin el moribundo reune el resto de las fuerzas que le quedan, y dice:   si ustedes me ayudan a bajar, tal vez yo pueda llegar al cementerio por mi cuenta.  
3780: locos | una vez se encontraron tres locos en un desierto. llevaban varios dias de recorrido y no habian encontrado nada para comer y mucho menos para beber. despues de cinco dias, los tres locos encontraron un viejo automovil en medio del desierto, uno de los locos pregunta:¿para que nos puede servir este auto?  el segundo le contesta:  yo no se, pero tiene que servir para algo.   el tercero le responde:  yo me voy a llevar un asiento para sentarme cuando me canse.  el segundo le dice:   yo me voy a llevar el radiador para tomar agua cuando tenga sed.  el primer loco le dice:  pues, yo me voy a llevar una puerta. y los otros locos le dicen: ¿una puerta? ¿y para que?  a lo que el primer loco le contesta: ¡para bajar los cristales cuando tenga calor!  
7594: tacaños | habia una vez un hombre tan, pero tan tacaño, que un dia fue a un bar a tomarse un trago, el muchacho del bar le sirvio el trago y de repente aparece una mosca. el hombre muy preocupado porque la mosca podia caer a su vaso, da unos manotazos, y justo le pega a la pobre mosca la que cae en el vaso, entonces, el hombre la toma de sus dos alitas y le dice:¡escupe lo que tragaste, escupe lo que tragaste!  
3279: adivinanzas | ¿cual es el colmo de spider-man?que lo pique una araña 
2868: adivinanzas | ¿que son puntos blancos en la grama?son hormigas haciendo la primera comunion 
4342: amigos | se encuentran dos amigos y le dice uno a otro:¡hombre manuel! ¿que es de tu vida? pues aqui estamos. ¿que tal tu mujer? en casa esta. ¿y los niños? muy bien, el pequeño hace tres meses que camina. ¿pues ya estara lejos 
1462: computacion | se abre el telon y aparecen linux, ms-dos, y windows 95; se cierra el telon. ¿como se llama la pelicula?el bueno, el feo y el malo.  
2342: feministas | ¿que es una neurona en el cerebro de un hombre?eco, eco. ¿dos? turismo. ¿y tres? aun no se ha dado el caso 
6542: pepito | ¡hola manuelito!¡hola pepillo! ¿te puedo hacer una pregunta? si amiguito mio, andale. le prestarias a un amigo 100.000 dolares? si, snif, snif... no te pongas asi, ¿que no tienes esa cantidad de guita? no, lo que no tengo son amigos.  
3684: jefes | entra el empleado a la oficina de su jefe, y con un aspecto temeroso le dice:jefe, necesito hablar con usted. pasa hombre, ¿que te ocurre? usted sabe que llevo mas de 15 años en su empresa y nunca he tenido un aumento de sueldo, es hora que me aumente los 300 dolares mensuales que gano desde que me contrato. y dime, ¿cuanto quieres ganar? bueno, hice algunos calculos y considerando el tiempo transcurrido, y el trabajo tecnico que desarrollo creo que me corresponderia ganar 1.500 dolares por lo menos. mira, te voy a pagar 5.000 dolares mensuales, un vehiculo a tu cargo, vacaciones pagadas al lugar que tu elijas, y te asignare una secretaria para que te ayude en tus labores diarias, ¿que dice? ¿me esta bromeando? ¡si, pero tu empezaste!   
3364: adivinanzas | ¿saben que le dijo el libro a la revista?y tu por que estas tan delgada.  
370: campesinos | una pareja de campesinos habia deseado toda su vida tener hijos e intentaban, intentaban y nada, hasta que un dia le dieron la buena noticia que iban a tener un hijo varon. al cual bautizaron como tiros. ellos muy felices lo criaron, cuando cumplio casi los 18 se fue a la ciudad. los meses pasaron y pasaron y los padres no sabian nada de el. hasta que un compadre se acerca a su casa y le dice: compadrito, tengo muy buenas noticias de tiros, le enseña el periodico y donde dice:  tiros en la universidad.  entre todos se felicitan y matan a la vaca mas gorda y grande y festejan por su triunfo. pasan unos 2 meses vuelve el compadre y le dice: tengo noticias de tu hijo: tiros para abogado. vuelven a  matar a la vaca mas grande y hacen una gran fiesta, todo el pueblo se entero, todos fueron invitados. a los 5 meses viene el compadre y le dice: le tengo malas noticias compadrito y ven el titulo del periodico y dice: a tiros lo mata la policia 
7714: una_linea | hola, ¿esta felix?no, estoy trixte 
4425: amigos | estaban dos compadres en una cantina platicando de negocios, cuando de pronto entra un caballo y le dice al barman:sirveme una copa. a los dos minutos otra vez: sirveme otra copa. y el caballo despues de haberse tomado las copas abandono el lugar. de pronto un compadre le dice al otro: oye compadre, ¿no viste algo raro? y le contesta el otro: ¡si, se salio sin pagar 
5626: otros | ¿ves?, me he hecho la cola de caballo.has hecho bien, asi no pareceras una burra 
2412: graffiti | ¿hasta donde se lavan la cara los pelados?¿cuando los bebes dejan de ser bebes? si estas en un callejon sin salida, ¿por que no salir por la entrada? si los perros son los mejores amigos del hombre, ¿por que no vamos al cine con ellos? ¿por que hay dia del padre, dia de la madre, pero no hay da del hijo? ¿por que 'separado' se escribe todo junto y 'todo junto' se escribe separado? ¿por que en 'el dia del trabajo' nadie trabaja? si cuando uno hace algo mucho tiempo lo hace cada vez mejor; ¿por que los taxistas manejan tan mal? si los banqueros pueden contar, ¿por que en los bancos hay ocho ventanillas y solo cuatro cajeros? si la lana se encoge al mojarse... ¿por que las ovejas no encogen cuando llueve? ¿por que sera que si uno habla con dios, la gente piensa que eres espiritual, pero si dios habla con uno, la gente piensa que estas loco? ¿por que las bailarinas andan siempre en puntas de pie?; ¿no seria mas facil contratar bailarinas mas altas? cuando te sacas una foto al lado de mickey mouse, el hombre que esta dentro del disfraz, ¿estara sonriendo? cuando a uno lo sacan de sus casillas, ¿adonde va?  
2016: actos | un chiste de tres actos:1er acto: un perro muerde a un tipo. 2do acto: el mismo perro vuelve a morder al mismo tipo. 3er acto: el perro vuelve a morder al mismo tipo. ¿como se llama la obra? la obra se llama remordimient 
5398: otros | -oye manolo, ¿me prestas tu champu?-pero si tu tienes. -si, pero el mio dice para cabellos secos y el mio esta mojado.. 
